Var1,Var2,Var3
"BRD-A26583774.txt.mat",644,12282
"BRD-A26595446.txt.mat",644,12282
"BRD-A26627799.txt.mat",644,12282
"BRD-A26962727.txt.mat",644,12282
"BRD-A27640568.txt.mat",644,12282
"BRD-A27924917.txt.mat",644,12282
"BRD-A28412351.txt.mat",644,12282
"BRD-A28422330.txt.mat",644,12282
"BRD-A29119732.txt.mat",644,12282
"BRD-A29342309.txt.mat",644,12282
"BRD-A29721261.txt.mat",644,12282
"BRD-A30083233.txt.mat",644,12282
"BRD-A30395175.txt.mat",644,12282
"BRD-A30455275.txt.mat",644,12282
"BRD-A30612536.txt.mat",644,12282
"BRD-A30856524.txt.mat",644,12282
"BRD-A31180007.txt.mat",644,12282
"BRD-A31429689.txt.mat",644,12282
"BRD-A31946439.txt.mat",644,12282
"BRD-A32065788.txt.mat",644,12282
"BRD-A32214171.txt.mat",644,12282
"BRD-A32241587.txt.mat",644,12282
"BRD-A32440707.txt.mat",644,12282
"BRD-A32449311.txt.mat",644,12282
"BRD-A32582647.txt.mat",644,12282
"BRD-A32917072.txt.mat",644,12282
"BRD-A34421300.txt.mat",644,12282
"BRD-A35072120.txt.mat",644,12282
"BRD-A35141262.txt.mat",644,12282
"BRD-A35153197.txt.mat",644,12282
"BRD-A35207501.txt.mat",644,12282
"BRD-A35430844.txt.mat",644,12282
"BRD-A35769934.txt.mat",644,12282
"BRD-A35825362.txt.mat",644,12282
"BRD-A36059655.txt.mat",644,12282
"BRD-A36165599.txt.mat",644,12282
"BRD-A36275421.txt.mat",644,12282
"BRD-A36411721.txt.mat",644,12282
"BRD-A36884011.txt.mat",644,12282
"BRD-A37501891.txt.mat",644,12282
"BRD-A37656721.txt.mat",644,12282
"BRD-A37735495.txt.mat",644,12282
"BRD-A38425832.txt.mat",644,12282
"BRD-A38793261.txt.mat",644,12282
"BRD-A38936397.txt.mat",644,12282
"BRD-A39121618.txt.mat",644,12282
"BRD-A39599596.txt.mat",644,12282
"BRD-A39986918.txt.mat",644,12282
"BRD-A40163033.txt.mat",644,12282
"BRD-A40431293.txt.mat",644,12282
"BRD-A40560522.txt.mat",644,12282
"BRD-A41114263.txt.mat",644,12282
"BRD-A41228941.txt.mat",644,12282
"BRD-A41630653.txt.mat",644,12282
"BRD-A41649729.txt.mat",644,12282
"BRD-A41986761.txt.mat",644,12282
"BRD-A41997916.txt.mat",644,12282
"BRD-A42187224.txt.mat",644,12282
"BRD-A42610307.txt.mat",644,12282
"BRD-A42737819.txt.mat",644,12282
"BRD-A42969626.txt.mat",644,12282
"BRD-A42994615.txt.mat",644,12282
"BRD-A43087975.txt.mat",644,12282
"BRD-A43126523.txt.mat",644,12282
"BRD-A43155244.txt.mat",644,12282
"BRD-A43188678.txt.mat",644,12282
"BRD-A43640821.txt.mat",644,12282
"BRD-A43805296.txt.mat",644,12282
"BRD-A43885598.txt.mat",644,12282
"BRD-A44244100.txt.mat",644,12282
"BRD-A44862234.txt.mat",644,12282
"BRD-A45206415.txt.mat",644,12282
"BRD-A45657137.txt.mat",644,12282
"BRD-A46802340.txt.mat",644,12282
"BRD-A47714657.txt.mat",644,12282
"BRD-A47816767.txt.mat",644,12282
"BRD-A47832959.txt.mat",644,12282
"BRD-A48052484.txt.mat",644,12282
"BRD-A49581300.txt.mat",644,12282
"BRD-A49848186.txt.mat",644,12282
"BRD-A50388635.txt.mat",644,12282
"BRD-A51666293.txt.mat",644,12282
"BRD-A51929314.txt.mat",644,12282
"BRD-A52530852.txt.mat",644,12282
"BRD-A52647795.txt.mat",644,12282
"BRD-A52771319.txt.mat",644,12282
"BRD-A52933579.txt.mat",644,12282
"BRD-A53107311.txt.mat",644,12282
"BRD-A53271750.txt.mat",644,12282
"BRD-A54077041.txt.mat",644,12282
"BRD-A54194844.txt.mat",644,12282
"BRD-A54632525.txt.mat",644,12282
"BRD-A55317422.txt.mat",644,12282
"BRD-A55554369.txt.mat",644,12282
"BRD-A55565369.txt.mat",644,12282
"BRD-A55609290.txt.mat",644,12282
"BRD-A56001686.txt.mat",644,12282
"BRD-A56800788.txt.mat",644,12282
"BRD-A56831909.txt.mat",644,12282
"BRD-A57107094.txt.mat",644,12282
"BRD-A57300602.txt.mat",644,12282
"BRD-A58482795.txt.mat",644,12282
"BRD-A58924247.txt.mat",644,12282
"BRD-A59046243.txt.mat",644,12282
"BRD-A59145032.txt.mat",644,12282
"BRD-A59728941.txt.mat",644,12282
"BRD-A60386802.txt.mat",644,12282
"BRD-A60784279.txt.mat",644,12282
"BRD-A61189834.txt.mat",644,12282
"BRD-A61599461.txt.mat",644,12282
"BRD-A61825514.txt.mat",644,12282
"BRD-A62200266.txt.mat",644,12282
"BRD-A62496920.txt.mat",644,12282
"BRD-A62647958.txt.mat",644,12282
"BRD-A63949900.txt.mat",644,12282
"BRD-A64850503.txt.mat",644,12282
"BRD-A65140285.txt.mat",644,12282
"BRD-A65142661.txt.mat",644,12282
"BRD-A65516924.txt.mat",644,12282
"BRD-A66604020.txt.mat",644,12282
"BRD-A66846505.txt.mat",644,12282
"BRD-A66861218.txt.mat",644,12282
"BRD-A67306036.txt.mat",644,12282
"BRD-A68061604.txt.mat",644,12282
"BRD-A68065211.txt.mat",644,12282
"BRD-A68202111.txt.mat",644,12282
"BRD-A68274214.txt.mat",644,12282
"BRD-A68721828.txt.mat",644,12282
"BRD-A68802837.txt.mat",644,12282
"BRD-A68820570.txt.mat",644,12282
"BRD-A68890828.txt.mat",644,12282
"BRD-A69421747.txt.mat",644,12282
"BRD-A69429454.txt.mat",644,12282
"BRD-A69454249.txt.mat",644,12282
"BRD-A69470004.txt.mat",644,12282
"BRD-A70311631.txt.mat",644,12282
"BRD-A70541707.txt.mat",644,12282
"BRD-A70591769.txt.mat",644,12282
"BRD-A70633932.txt.mat",644,12282
"BRD-A70879086.txt.mat",644,12282
"BRD-A71339955.txt.mat",644,12282
"BRD-A71707563.txt.mat",644,12282
"BRD-A72069525.txt.mat",644,12282
"BRD-A72498772.txt.mat",644,12282
"BRD-A72796238.txt.mat",644,12282
"BRD-A72837804.txt.mat",644,12282
"BRD-A73513677.txt.mat",644,12282
"BRD-A73558769.txt.mat",644,12282
"BRD-A73594579.txt.mat",644,12282
"BRD-A73747855.txt.mat",644,12282
"BRD-A73847809.txt.mat",644,12282
"BRD-A73929928.txt.mat",644,12282
"BRD-A74134989.txt.mat",644,12282
"BRD-A74382794.txt.mat",644,12282
"BRD-A74608937.txt.mat",644,12282
"BRD-A74699940.txt.mat",644,12282
"BRD-A74767450.txt.mat",644,12282
"BRD-A74983348.txt.mat",644,12282
"BRD-A75106577.txt.mat",644,12282
"BRD-A75301702.txt.mat",644,12282
"BRD-A75471153.txt.mat",644,12282
"BRD-A75558199.txt.mat",644,12282
"BRD-A75769921.txt.mat",644,12282
"BRD-A76641868.txt.mat",644,12282
"BRD-A76732176.txt.mat",644,12282
"BRD-A77098556.txt.mat",644,12282
"BRD-A77577770.txt.mat",644,12282
"BRD-A77704559.txt.mat",644,12282
"BRD-A77864279.txt.mat",644,12282
"BRD-A78236793.txt.mat",644,12282
"BRD-A79058669.txt.mat",644,12282
"BRD-A80536908.txt.mat",644,12282
"BRD-A81045722.txt.mat",644,12282
"BRD-A81282034.txt.mat",644,12282
"BRD-A81372523.txt.mat",644,12282
"BRD-A81377415.txt.mat",644,12282
"BRD-A81389811.txt.mat",644,12282
"BRD-A81416315.txt.mat",644,12282
"BRD-A81472640.txt.mat",644,12282
"BRD-A81530502.txt.mat",644,12282
"BRD-A81936046.txt.mat",644,12282
"BRD-A82197375.txt.mat",644,12282
"BRD-A82323890.txt.mat",644,12282
"BRD-A82628254.txt.mat",644,12282
"BRD-A82913781.txt.mat",644,12282
"BRD-A82976242.txt.mat",644,12282
"BRD-A83255679.txt.mat",644,12282
"BRD-A83402799.txt.mat",644,12282
"BRD-A83706824.txt.mat",644,12282
"BRD-A83802330.txt.mat",644,12282
"BRD-A83993876.txt.mat",644,12282
"BRD-A84066268.txt.mat",644,12282
"BRD-A84098870.txt.mat",644,12282
"BRD-A84102390.txt.mat",644,12282
"BRD-A84238007.txt.mat",644,12282
"BRD-A84280790.txt.mat",644,12282
"BRD-A84423900.txt.mat",644,12282
"BRD-A84445767.txt.mat",644,12282
"BRD-A84524947.txt.mat",644,12282
"BRD-A84909344.txt.mat",644,12282
"BRD-A85712510.txt.mat",644,12282
"BRD-A85891951.txt.mat",644,12282
"BRD-A86146706.txt.mat",644,12282
"BRD-A86792397.txt.mat",644,12282
"BRD-A87384553.txt.mat",644,12282
"BRD-A87455648.txt.mat",644,12282
"BRD-A88029023.txt.mat",644,12282
"BRD-A88504692.txt.mat",644,12282
"BRD-A88765664.txt.mat",644,12282
"BRD-A88878656.txt.mat",644,12282
"BRD-A89049230.txt.mat",644,12282
"BRD-A89067742.txt.mat",644,12282
"BRD-A89208012.txt.mat",644,12282
"BRD-A89333723.txt.mat",644,12282
"BRD-A89494828.txt.mat",644,12282
"BRD-A89907244.txt.mat",644,12282
"BRD-A90643929.txt.mat",644,12282
"BRD-A91404865.txt.mat",644,12282
"BRD-A92334183.txt.mat",644,12282
"BRD-A92729194.txt.mat",644,12282
"BRD-A93015352.txt.mat",644,12282
"BRD-A93048969.txt.mat",644,12282
"BRD-A93426597.txt.mat",644,12282
"BRD-A93507363.txt.mat",644,12282
"BRD-A93942655.txt.mat",644,12282
"BRD-A93975555.txt.mat",644,12282
"BRD-A94297859.txt.mat",644,12282
"BRD-A94381689.txt.mat",644,12282
"BRD-A94546435.txt.mat",644,12282
"BRD-A94567954.txt.mat",644,12282
"BRD-A94570195.txt.mat",644,12282
"BRD-A94675310.txt.mat",644,12282
"BRD-A95489119.txt.mat",644,12282
"BRD-A95504714.txt.mat",644,12282
"BRD-A95795120.txt.mat",644,12282
"BRD-A95820578.txt.mat",644,12282
"BRD-A95937159.txt.mat",644,12282
"BRD-A95944315.txt.mat",644,12282
"BRD-A96006241.txt.mat",644,12282
"BRD-A96272097.txt.mat",644,12282
"BRD-A96746500.txt.mat",644,12282
"BRD-A96749488.txt.mat",644,12282
"BRD-A96791331.txt.mat",644,12282
"BRD-A97035593.txt.mat",644,12282
"BRD-A98050686.txt.mat",644,12282
"BRD-A98200599.txt.mat",644,12282
"BRD-A98248982.txt.mat",644,12282
"BRD-A98444709.txt.mat",644,12282
"BRD-A98777808.txt.mat",644,12282
"BRD-A98888159.txt.mat",644,12282
"BRD-A99218607.txt.mat",644,12282
"BRD-A99518825.txt.mat",644,12282
"BRD-A99702332.txt.mat",644,12282
"BRD-A99879977.txt.mat",644,12282
"BRD-A99911370.txt.mat",644,12282
"BRD-K00007652.txt.mat",644,12282
"BRD-K00028814.txt.mat",644,12282
"BRD-K00036326.txt.mat",644,12282
"BRD-K00043782.txt.mat",644,12282
"BRD-K00046588.txt.mat",644,12282
"BRD-K00057967.txt.mat",644,12282
"BRD-K00061590.txt.mat",644,12282
"BRD-K00064877.txt.mat",644,12282
